编码,名称,数量,保质期,近效期,录入条码
1000002,"中粮金稻田优质东北大米 (袋, 金稻田, 25kg*1)",,540 ,120 ,6944910328899
1000004,"小米 (袋, 散装, 25kg*1)",,180,90,空
1000005,紫米,,180,90,空
1000006,"红小豆 (袋, 散装, 25kg*1)",,180,90,空
1000007,松花皮蛋,,60,5,空
1000008,松花皮蛋,,60,5,空
1000009,松花皮蛋,,60,5,空
1000010,松花皮蛋,,60,5,空
1000011,咸鸭蛋,,60,5,空
1000012,"五得利强筋雪花高筋小麦粉 (袋, 25kg*1, 五得利)",,90 ,30 ,6934468006295
1000013,"鸡蛋（红皮/厚｜筐装） (净重44斤，每斤约7-9个, 含筐押金20元，筐可退)",,20,4,空
1000014,"五得利雪花高筋小麦粉 (袋, 五得利, 25kg*1)",,90 ,30 ,6934468006288
1000015,"五得利富强高筋小麦粉 (袋, 25kg*1, 五得利)",,90 ,30 ,6934468006424
1000016,"五得利特精高筋小麦粉 (袋, 五得利, 25kg*1)",,90 ,30 ,6934468000101
1000017,"鸡蛋 (箱, 散装, 红皮/厚，纸箱装，破损少，一箱360枚，每斤约7-9个（42.5斤）)",,20,4,空
1000018,"五得利超精高筋小麦粉 (袋, 五得利, 25kg*1)",,90 ,30 ,6934468000262
1000019,"五得利上白高筋小麦粉 (袋, 25kg*1, 五得利)",,90 ,30 ,无
1000020,"鸡蛋（红皮/厚｜筐装） (筐, 散装, 红皮/厚 净重30斤，含筐押金20元，可退，每斤约7-9个)",,20,4,空
1000021,"益海嘉里香满园高筋小麦粉 (袋, 香满园, 25kg*1)",,180 ,90 ,
1000023,"益海嘉里香满园特精小麦粉 (袋, 香满园, 25kg*1)",,180 ,90 ,无
1000024,"鸡蛋（白皮/厚｜ 筐装） (筐, 散装, 白皮/厚，净重44斤，含筐押金20元，可退，每斤约7-9个)",,20,4,空
1000025,五湖长粒香,,540 ,120 ,6944910318234
1000026,"小鸡蛋（红皮/厚｜筐装） (筐, 散装, 红皮/厚，净重44斤，含筐押金20元，可退，每斤约10个)",,20,4,空
1000027,"五星五常贡米 (五星, 袋, 25kg*1)",,,,
