商品编号,商品名称,保质期,近效期,录入条码
1000588,安井大鱼豆腐(2.5kg*4袋),365 ,120,空
1000589,安井小鱼豆腐(2.5kg*4袋),365 ,120,空
1000590,安井香菇贡丸(2.5kg*4袋),365 ,120,空
1000591,安井甜不辣肉条(2.5kg*4袋),365 ,120,空
1000592,安井撒尿肉丸(2.5kg*4袋),365 ,120,空
1000593,安井亲亲肠(2.5kg*4袋),365 ,120,空
1000594,安井仿蟹柳(2.5kg*4袋),365 ,120,空
1000595,安井仿墨鱼丸(2.5kg*4袋),365 ,120,空
1000596,胜田桂花肠(白)(2.5kg*4袋),365 ,120,空
1000597,胜田鲍味鱼片(2.5kg*4袋),365 ,120,空
1000598,胜田福州鱼丸(2.5kg*4袋),365 ,120,空
1000599,胜田呷米饺(2.5kg*4袋),365 ,120,空
1000600,胜田龙凤片(2.5kg*4袋),365 ,120,空
1000601,胜田墨鱼丸(2.5kg*4袋),365 ,120,空
1000602,胜田千业豆腐(2.5kg*4袋),365 ,120,空
1000603,胜田亲亲肠(2.5kg*4袋),365 ,120,空
1000604,胜田撒尿包心肉丸(2.5kg*4袋),365 ,120,空
1000605,胜田虾味丸(2.5kg*4袋),365 ,120,空
1000606,胜田大鱼豆腐(2.5kg*4袋),365 ,120,空
1000607,胜田小鱼豆腐(2.5kg*4袋),365 ,120,空
1000608,胜田鱼肉卷(2.5kg*4袋),365 ,120,空
1000611,胜田鱼丸(2.5kg*4袋),365 ,120,空
1000623,宏基舟山带鱼（200/300)9.5kg/箱,365 ,120,空
1000624,宏基舟山小黄鱼（9.5kg/箱）,365 ,120,空
1000625,宏基秋刀鱼（9.5kg/箱）,365 ,120,空
1000626,宏基南美虾仁（8kg/箱）,365 ,120,空
1000627,宏基鱿鱼圈（10kg/箱）,365 ,120,空
1000628,宏基鱿鱼花（7kg/箱）,365 ,120,空
1000629,宏基鱿鱼翼条（10kg/箱）,365 ,120,空
1000630,宏基鱿鱼头（10kg/箱）,365 ,120,空
1000635,安井霞迷饺(2.5kg*4袋),365 ,120,空
1000636,三都港糟香黄鱼（300g/条*30条）,,,空
1000637,三都港醇香黄鱼鳖（200g/条*40条）,365 ,120,空
1000638,海欣千层豆腐(2.5kg*4袋）,365 ,120,空
1000639,海欣北方鱼豆腐(2.5kg*4袋）,365 ,120,空
1000640,海欣火锅饺(香菇风味)(2.5kg*4袋）,365 ,120,空
1000641,三都港海蜇丝150g,365 ,120,空
1000642,海欣西湖肉燕(1.5kg*4袋）,365 ,120,空
1000643,三都港海蜇头160g,365 ,120,空
1000644,海欣金陵鱼脆(2.5kg*4袋）,365 ,120,空
1000645,海欣迷你虾米饺(2.5kg*4袋）,365 ,120,空
1000646,海欣墨鱼丸|特级(2.5kg*4袋）,365 ,120,空
1000647,海欣鲜虾脆(1.5kg*4袋）,365 ,120,空
1000648,海欣香菇脆(1.5kg*4袋）,365 ,120,空
1000649,海欣香辣鱼果(2.5kg*4袋）,365 ,120,空
1000650,海欣鼓山蟹肉棒(2.5kg*4袋）,365 ,120,空
1000651,海欣原味墨鱼花(1.5kg*4袋）,365 ,120,空
1000652,经纬彩虹卷(2.5kg*4袋）,,,空
1000653,经纬干贝丝饼(2.5kg*4袋）,,,空
1000654,经纬海鲜鱼丸(2.5kg*4袋）,,,空
1000655,经纬片片脆(2.5kg*4袋）,,,空
1000656,经纬烧一番(2.5kg*4袋）,,,空
1000657,经纬蟹棒（仿蟹肉）(2.5kg*4袋）,,,空
1000658,经纬鲜虾丸（虾味鱼丸）(2.5kg*4袋）,,,空
1000659,经纬鳕鱼卷（包心卷条）(2.5kg*4袋）,,,空
1000660,利泉龙虾丸(1.5kg*5袋）,,,空
1000661,三都港虾皮100g,,,空
1000662,利泉花枝丸(1.5kg*5袋）,,,空
1000664,利泉鱼豆腐(1.5kg*5袋）,,,空
1000665,幸福码头红桂花肠(2.5kg*4袋）,,,空
1000667,幸福码头白桂花肠(2.5kg*4袋）,,,空
1000668,糟香大黄鱼200g,,,空
1000669,幸福码头鱼皮脆(2.5kg*4袋）,,,空
1000670,幸福码头火锅饺(2.5kg*4袋）,,,空
1000671,糟香大黄鱼(230g/条*100条),,,空
1000672,幸福码头亲亲肠(2.5kg*4袋）,,,空
1000674,糟香大黄鱼250g,,,空
1000675,幸福码头明湖肉燕(2.5kg*4袋）,,,空
1000676,调味大黄鱼160g,,,空
1000677,幸福码头墨鱼花(2.5kg*4袋）,,,空
1000678,调味大黄鱼230g,,,空
1000679,幸福码头墨鱼肠(2.5kg*4袋）,,,空
1000680,调味大黄鱼250g,,,空
1000681,调味大黄鱼280g,,,空
1000682,幸福码头玉米脆皮肠(2.5kg*4袋）,,,空
1000683,幸福码头烟熏脆皮肠(2.5kg*4袋）,,,空
1000684,调味大黄鱼300g,,,空
1000685,调味大黄鱼(325g/条*60条),270 ,90,空
1000686,调味大黄鱼350g,,,空
