一级分类,二级分类,三级分类,原料SUK,原料名称,原料对应入库单位,,APP上线名称,修改APP线上名称,等级,修改等级,线上包装规格,修改包装规格,**斤/袋,,修改包装单位,售卖单位,,
蔬菜,茄果类,西葫芦,1001032,原料西葫芦,斤,,西葫芦/油,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,黄瓜,1001036,原料黄瓜（鲜花）,斤,,黄瓜（鲜花）,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,黄瓜,1001036,原料黄瓜（鲜花）,斤,,黄瓜（干花）,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,苦瓜,1001043,原料苦瓜,斤,,苦瓜,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,茄子,1001046,原料圆茄,斤,,圆茄,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,茄子,1001046,原料圆茄,斤,,长茄（黑）,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,西红柿,1001054,原料西红柿,斤,,西红柿,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,茄子,1001046,原料圆茄,斤,,广茄（紫长茄）,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,尖椒,1001672,原料尖椒（青，优质）,斤,,尖椒（青，优质）,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,尖椒,1001672,原料尖椒（青，优质）,斤,,尖椒（红）,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,凉瓜,1001674,原料凉瓜,斤,,凉瓜,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,丝瓜,1001675,原料丝瓜,斤,,丝瓜,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,青椒,1001676,原料青椒,斤,,青椒,,,,10斤/袋,,10,,,按袋,,
蔬菜,茄果类,彩椒,1001677,原料彩椒（黄）,斤,,彩椒（黄）,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,彩椒,1001678,原料彩椒（红）,斤,,彩椒（红）,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,美人椒,1001679,原料美人椒（青）,斤,,美人椒（青）,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,美人椒,1001680,原料美人椒（红）,斤,,美人椒（红）,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,线椒,1001681,原料线椒,斤,,线椒,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,小米椒,1001682,原料小米椒（红）,斤,,小米椒（红）,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,小米椒,1001683,原料小米椒（青）,斤,,小米椒（青）,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,杭椒,1001684,原料杭椒,斤,,杭椒,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,螺丝椒,1001685,原料螺丝椒,斤,,螺丝椒,,,,3斤/袋,,3,,,按袋,,
蔬菜,茄果类,南瓜,1001686,原料金丝南瓜,斤,,金丝南瓜,,,,10斤/袋,,10,,,按袋,,
蔬菜,葱姜蒜,洋葱,1001040,原料红皮葱头,斤,,红皮葱头,,,,10斤/袋,,10,,,按袋,,
蔬菜,葱姜蒜,洋葱,1001040,原料红皮葱头,斤,,黄皮葱头,,,,10斤/袋,,10,,,按袋,,
蔬菜,葱姜蒜,大蒜,1001045,原料大蒜,斤,,大蒜,,,,10斤/袋,,10,,,按袋,,
蔬菜,葱姜蒜,大蒜,1001047,原料蒜米（机器剥）,斤,,蒜米（机器剥）,,,,3斤/袋,,3,,,按袋,,
蔬菜,葱姜蒜,大蒜,1001049,原料蒜米（人工剥）,斤,,蒜米（人工剥）,,,,3斤/袋,,3,,,按袋,,
蔬菜,葱姜蒜,姜,1001051,原料姜（湿）,斤,,姜（湿）,,,,3斤/袋,,3,,,按袋,,
蔬菜,葱姜蒜,姜,1001053,原料姜（干）,斤,,姜（干）,,,,3斤/袋,,3,,,按袋,,
蔬菜,葱姜蒜,大葱,1001056,原料大葱,斤,,中葱,,,,10斤/袋,,10,,,按袋,,
蔬菜,葱姜蒜,大葱,1001056,原料大葱,斤,,大葱（去叶）,,,,10斤/袋,,10,,,按袋,,
蔬菜,葱姜蒜,姜,1001687,原料碎姜,斤,,碎姜,,,,3斤/袋,,3,,,按袋,,
蔬菜,根茎类,红薯,1001059,原料红薯,斤,,红薯,,0.5-1斤/个,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,胡萝卜,1001061,原料胡萝卜（泥）,斤,,胡萝卜（泥）,,不低于0.4斤/个,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,胡萝卜,1001062,原料胡萝卜（洗）,斤,,胡萝卜（洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,心里美萝卜,1001063,原料心里美,斤,,心里美,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,白萝卜,1001064,原料白萝卜,斤,,白萝卜,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,青萝卜,1001031,原料青萝卜,斤,,青萝卜,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,土豆,1001033,原料黄心土豆（新）,斤,,黄心土豆（新）,,0.4-0.8斤/个,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,土豆,1001033,原料黄心土豆（新）,斤,,白心土豆（新）,,0.4-0.8斤/个,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,莴笋,1001400,原料莴笋,斤,,莴笋,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,蒜苔,1001401,原料蒜苔（优质）,斤,,蒜苔（优质）,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,蒜苔,1001401,原料蒜苔（优质）,斤,,蒜苔（普通）,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,豆芽,1001403,原料绿豆芽,斤,,绿豆芽,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,豆芽,1001403,原料绿豆芽,斤,,黄豆芽,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,萝卜,1001405,原料卞萝卜,斤,,卞萝卜,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,萝卜,1001405,原料卞萝卜,斤,,樱桃萝卜,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,藕,1001407,原料藕,斤,,藕,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,紫薯,1001409,原料紫薯,斤,,紫薯,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,山药,1001410,原料脆山药,斤,,脆山药,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,山药,1001410,原料脆山药,斤,,面山药,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,山药,1001410,原料脆山药,斤,,铁棍山药,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,山药,1001410,原料脆山药,斤,,淮山药,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,芦笋,1001414,原料芦笋,斤,,芦笋,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,玉米,1001415,原料玉米（甜）,斤,,玉米（甜）,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,玉米,1001415,原料玉米（甜）,斤,,玉米（黏）,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,花生,1001418,原料花生,斤,,花生,,,,10斤/袋,,10,,,按袋,,
蔬菜,根茎类,茭白,1001670,原料茭白,斤,,茭白,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,豆王,1001448,原料豆王（优质）,斤,,豆王（优质）,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,豇豆,1001450,原料豇豆（绿）,斤,,豇豆（绿）,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,四季豆,1001452,原料四季豆,斤,,四季豆,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,毛豆,1001453,原料毛豆,斤,,毛豆,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,扁豆角,1001454,原料扁豆角,斤,,扁豆角,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,荷兰豆,1001456,原料荷兰豆,斤,,荷兰豆,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,油豆角,1001457,原料油豆角,斤,,油豆角,,,,10斤/袋,,10,,,按袋,,
蔬菜,豆类,豌豆,1001459,原料豌豆,斤,,豌豆,,,,10斤/袋,,10,,,按袋,,
蔬菜,菌类,香菇,1001460,原料香菇（优质）,斤,,香菇（优质）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,香菇,1001461,原料香菇（普通）,斤,,香菇（普通）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,平菇,1001463,原料平菇（优质）,斤,,平菇（优质）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,平菇,1001464,原料平菇（普通）,斤,,平菇(普通）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,木耳,1001465,原料木耳（鲜/大）,斤,,木耳（鲜/大）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,木耳,1001467,原料木耳（鲜/小）,斤,,木耳（鲜/小）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,花菇,1001468,原料花菇（鲜）,斤,,花菇（鲜）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,茶树菇,1001469,原料茶树菇（鲜）,斤,,茶树菇（鲜）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,草菇,1001470,原料草菇（鲜）,斤,,草菇（鲜）,,,,3斤/袋,,3,,,按袋,,
蔬菜,菌类,口蘑,1001471,原料口蘑,斤,,口蘑,,,,3斤/袋,,3,,,按袋,,
蔬菜,叶菜类,油菜,1001688,原料油菜（干）,斤,,油菜（干）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,大白菜,1001689,原料大白菜,斤,,大白菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,圆生菜,1001691,原料圆生菜,斤,,圆生菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,菠菜,1001692,原料菠菜（干）,斤,,菠菜（干）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,油麦菜,1001693,原料油麦菜（干）,斤,,优质油麦菜（干）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,韭菜,1001771,原料韭菜（优质）,斤,,韭菜（优质）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,芹菜,1001695,原料芹菜,斤,,芹菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,香菜,1001696,原料香菜（优质）,斤,,香菜（优质）,,,,3斤/袋,,3,,,按袋,,
蔬菜,叶菜类,西兰花,1001697,原料西兰花,斤,,西兰花,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,菜花,1001698,原料菜花（优质）,斤,,菜花（优质）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,甘蓝圆白菜,1001690,原料甘蓝圆白菜（松散）,斤,,甘蓝圆白菜（紧实）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,油麦菜,1001693,原料油麦菜（干）,斤,,油麦菜（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,菠菜,1001692,原料菠菜（干）,斤,,菠菜（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,生菜,1001808,原料散生菜,斤,,散生菜（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,茼蒿,1001809,原料茼蒿,斤,,茼蒿,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,娃娃菜,1001811,原料娃娃菜（散装）,斤,,娃娃菜（散装）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,韭黄,1001812,原料韭黄,斤,,韭黄,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,紫甘蓝,1001813,原料紫甘蓝,斤,,紫甘蓝,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,小白菜,1001814,原料小白菜（水洗）,斤,,小白菜（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,小白菜,1001814,原料小白菜（水洗）,斤,,小白菜(干）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,菊花菜,1001816,原料菊花菜,斤,,菊花菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,奶白菜,1001817,原料奶白菜,斤,,促销奶白菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,快菜,1001819,原料快菜,斤,,快菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,香芹,1001820,原料香芹（水洗）,斤,,香芹（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,有机菜花,1001821,原料有机菜花,斤,,优质有机菜花,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,青蒜,1001822,原料青蒜,斤,,青蒜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,菜心,1001823,原料菜心,斤,,菜心,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,菜心,1001823,原料菜心,斤,,广东菜心,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,芥蓝,1001825,原料芥蓝（广东、小棵）,斤,,广东芥蓝,,小棵,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,芥蓝,1001825,原料芥蓝（广东、小棵）,斤,,广东芥蓝,,大棵,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,苦菊,1001827,原料苦菊（水洗）,斤,,苦菊（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,蒿子秆,1001828,原料蒿子秆（水洗）,斤,,蒿子秆（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,茴香,1001829,原料茴香,斤,,茴香,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,穿心莲,1001831,原料穿心莲,斤,,穿心莲,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,空心菜,1001832,原料空心菜（水洗）,斤,,空心菜（水洗）,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,香椿苗,1001834,原料香椿苗,斤,,香椿苗,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,鸡毛菜,1001835,原料鸡毛菜,斤,,鸡毛菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,木耳菜,1001837,原料木耳菜,斤,,木耳菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,叶菜类,红苋菜,1001840,原料红苋菜,斤,,红苋菜,,,,10斤/袋,,10,,,按袋,,
蔬菜,特菜,芋头,1001889,原料毛芋头,斤,,毛芋头,,,,10斤/袋,,10,,,按袋,,
蔬菜,特菜,芋头,1001889,原料毛芋头,斤,,大芋头,,,,10斤/袋,,10,,,按袋,,
蔬菜,特菜,紫苏,1001897,原料紫苏,斤,,紫苏,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,丝瓜尖,1001899,原料丝瓜尖,斤,,丝瓜尖,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,鱼腥草根,1001903,原料鱼腥草根,斤,,鱼腥草根,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,荸荠,1001906,原料荸荠（剥皮）,斤,,荸荠（剥皮）,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,薄荷叶,1001908,原料薄荷叶,斤,,薄荷叶,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,紫叶生菜,1001909,原料紫叶生菜,斤,,紫叶生菜,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,法香,1001912,原料法香,斤,,法香,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,牛蒡,1001914,原料牛蒡,斤,,牛蒡,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,苤蓝,1001917,原料苤蓝,斤,,苤蓝,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,小干葱,1001919,原料小干葱,斤,,小干葱,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,黑豆苗,1001920,原料黑豆苗,斤,,黑豆苗,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,黄瓜花,1001921,原料黄瓜花,斤,,黄瓜花,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,四棱豆,1001922,原料四棱豆,斤,,四棱豆,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,玉兰菜,1001924,原料玉兰菜,斤,,玉兰菜,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,太空椒,1001927,原料太空椒,斤,,太空椒,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,落地球生菜,1001929,原料落地球生菜,斤,,落地球生菜,,,,3斤/袋,,3,,,按袋,,
蔬菜,特菜,大苏子叶,1001933,原料大苏子叶,斤,,大苏子叶,,,,3斤/袋,,3,,,按袋,,
