内部货号,计量单位,,
1000007,袋,,
1000008,袋,,
1000009,袋,,
1000010,袋,,
1000011,袋,,
1000013,筐,,
1000017,箱,,
1000020,筐,,
1000024,件,,
1000026,筐,,
1000028,袋,,
1000030,袋,,
1000032,袋,,
1000164,件,,
1000509,件,,
1000510,件,,
1000540,件,,
1000541,件,,
1000725,件,,
1000726,件,,
1000737,件,,
1000886,件,,
1000887,件,,
1002141,件,,
1002142,件,,
1002143,件,,
1002347,件,,
1002348,件,,
1002349,件,,
1000002,件,,
1000004,袋,,
1000005,袋,,
1000006,袋,,
1000012,件,,
1000014,件,,
1000015,件,,
1000016,件,,
1000018,件,,
1000019,件,,
1000021,件,,
1000023,件,,
1000025,件,,
1000029,件,,
1000031,件,,
1000035,件,,
1000036,箱,,
1000038,箱,,
1000039,件,,
1000040,箱,,
1000041,件,,
1000043,件,,
1000044,件,,
1000045,件,,
1000047,件,,
1000049,袋,,
1000052,袋,,
1000054,袋,,
1000056,袋,,
1000061,袋,,
1000128,袋,,
1000137,箱,,
1000138,箱,,
1000139,箱,,
1000140,箱,,
1000141,箱,,
1000142,箱,,
1000143,件,,
1000168,件,,
1000180,件,,
1000184,件,,
1000210,件,,
1000230,件,,
1000367,件,,
1000368,件,,
1000369,件,,
1000370,件,,
1000371,件,,
1000395,件,,
1000396,件,,
1000397,件,,
1000398,件,,
1000399,件,,
1000400,件,,
1000401,件,,
1000402,件,,
1000422,件,,
1000423,件,,
1000424,件,,
1000425,件,,
1000426,件,,
1000466,件,,
1000467,件,,
1000468,件,,
1000469,件,,
1000470,件,,
1000471,件,,
1000472,件,,
1000473,件,,
1000474,件,,
1000475,件,,
1000476,件,,
1000477,件,,
1000478,件,,
1000479,件,,
1000480,件,,
1000481,件,,
1000482,件,,
1000483,件,,
1000506,件,,
1000511,件,,
1000512,件,,
1000513,件,,
1000514,件,,
1000515,件,,
1000516,件,,
1000517,件,,
1000518,件,,
1000519,件,,
1000520,件,,
1000521,件,,
1000522,件,,
1000523,件,,
1000524,件,,
1000525,件,,
1000526,件,,
1000527,件,,
1000528,件,,
1000529,件,,
1000530,件,,
1000531,件,,
1000532,件,,
1000533,件,,
1000534,件,,
1000535,件,,
1000536,件,,
1000537,件,,
1000538,件,,
1000539,件,,
1000542,件,,
1000663,件,,
1000666,件,,
1000673,件,,
1000690,件,,
1000692,件,,
1000695,件,,
1000724,件,,
1000749,件,,
1000750,件,,
1000751,件,,
1000752,件,,
1000754,件,,
1000755,件,,
1000812,件,,
1000817,件,,
1000926,件,,
1001105,件,,
1001106,件,,
1001107,件,,
1001211,件,,
1001397,件,,
1001398,件,,
1001569,件,,
1001727,件,,
1002093,件,,
1002120,件,,
1002121,件,,
1002122,件,,
1002123,件,,
1002124,件,,
1002125,件,,
1002126,件,,
1002127,件,,
1002128,件,,
1002129,件,,
1002130,件,,
1002131,件,,
1002132,件,,
1002133,件,,
1002134,件,,
1002135,件,,
1002136,件,,
1002137,件,,
1002138,件,,
1002139,件,,
1002140,件,,
1002145,件,,
1002146,件,,
1002147,件,,
1002216,件,,
1002217,件,,
1002218,件,,
1002219,件,,
1002220,件,,
1002221,件,,
1002222,件,,
1002223,件,,
1002224,件,,
1002225,件,,
1002226,件,,
1002227,件,,
1002228,件,,
1002229,件,,
1002230,件,,
1002231,件,,
1002232,件,,
1002233,件,,
1002235,件,,
1002236,件,,
1002238,件,,
1002271,件,,
1002288,件,,
1002289,件,,
1002290,件,,
1002291,件,,
1002292,件,,
1002293,件,,
1002294,件,,
1002295,件,,
1002296,件,,
1002297,件,,
1002298,件,,
1002299,件,,
1002300,件,,
1002301,件,,
1002302,件,,
1002303,件,,
1002305,件,,
1002307,件,,
1002310,件,,
1002312,件,,
1002315,件,,
1002327,件,,
1002339,件,,
1002340,件,,
1002341,件,,
1002342,件,,
1002346,件,,
1002540,件,,
1002821,件,,
1002823,件,,
1002826,件,,
1002827,件,,
1002828,件,,
1002829,件,,
1002830,件,,
1002831,件,,
1002832,件,,
1002850,件,,
1002851,件,,
1002857,件,,
1002895,件,,
1002956,件,,
1002964,件,,
1002965,件,,
1002966,件,,
1002974,件,,
1002975,件,,
1002976,件,,
1002977,件,,
1002978,件,,
1002979,件,,
1002980,件,,
1002991,件,,
1002992,件,,
1002993,件,,
1003010,件,,
1003011,件,,
1003153,件,,
1003620,件,,
1003621,件,,
1003622,件,,
1000219,件,,
1000223,件,,
1000224,件,,
1000225,件,,
1000226,件,,
1000227,件,,
1000228,件,,
1000229,件,,
1000231,件,,
1000232,件,,
1000233,件,,
1000234,件,,
1000235,件,,
